101808 140_csd Report.txt
2019-05-12, Time 20:56:37
1500 datapoints, 14 channels.

Onset Latency:
1: 111.79999542236328
2: 112.39999389648438
3: 111.79999542236328
4: 114.79999542236328
5: 124.39999389648438
6: 128.8000030517578
7: 108.39999389648438
8: 127.39999389648438
9: 108.5999984741211
10: 129.59999084472656
11: 114.0
12: 129.0
13: 109.39999389648438
14: 128.0

Initial Peak (+ 5 ms):
1: 116.39999389648438
2: 117.0
3: 115.79999542236328
4: 119.19999694824219
5: 128.8000030517578
6: 130.0
7: 111.5999984741211
8: 127.39999389648438
9: 112.0
10: 130.59999084472656
11: 118.39999389648438
12: 129.39999389648438
13: 113.39999389648438
14: 128.0

Max Peak (+ 25 ms):
1: 117.79999542236328
2: 120.39999389648438
3: 115.79999542236328
4: 120.39999389648438
5: 141.39999389648438
6: 150.8000030517578
7: 114.39999389648438
8: 143.59999084472656
9: 112.0
10: 130.59999084472656
11: 121.39999389648438
12: 134.1999969482422
13: 115.5999984741211
14: 146.39999389648438

